version,min_price,max_price
13,['https://produto.mercadolivre.com.br/MLB-4518522976-xiaomi-redmi-note-13-256gb-8g-ram-lancamento-2024-global-nf-_JM#position%3D27%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D400397aa-0bb7-4577-9c12-ec9a773d0223'],['https://produto.mercadolivre.com.br/MLB-4324468152-iphone-13-pro-max-1tb-dourado-ouro-24k-_JM?searchVariation=181226122415#searchVariation%3D181226122415%26position%3D31%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D400397aa-0bb7-4577-9c12-ec9a773d0223']
15,['https://www.mercadolivre.com.br/apple-iphone-15-128-gb-azul/p/MLB27172667#searchVariation%3DMLB27172667%26position%3D29%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3Def651f1c-0f60-4947-addd-f89b98905909'],"['https://www.mercadolivre.com.br/apple-iphone-15-512-gb-azul-distribuidor-autorizado/p/MLB1027172680#searchVariation%3DMLB1027172680%26position%3D10%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3Def651f1c-0f60-4947-addd-f89b98905909'
 'https://www.mercadolivre.com.br/apple-iphone-15-512-gb-verde-distribuidor-autorizado/p/MLB1027172676#searchVariation%3DMLB1027172676%26position%3D15%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3Def651f1c-0f60-4947-addd-f89b98905909']"
14,"['https://produto.mercadolivre.com.br/MLB-3807698711-apple-iphone-14-128gb-promoco-original-dash-_JM?searchVariation=184121927721#searchVariation%3D184121927721%26position%3D43%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D400397aa-0bb7-4577-9c12-ec9a773d0223'
 'https://produto.mercadolivre.com.br/MLB-3807976681-apple-iphone-14-128gb-promoco-vista-original-dash-_JM?searchVariation=184123240637#searchVariation%3D184123240637%26position%3D28%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3Db7365164-874c-4200-8bdd-8df8b50bb389']",['https://www.mercadolivre.com.br/apple-iphone-14-pro-max-256-gb-roxo-profundo/p/MLB19615354#searchVariation%3DMLB19615354%26position%3D21%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D400397aa-0bb7-4577-9c12-ec9a773d0223']
3,['https://produto.mercadolivre.com.br/MLB-4484847216-iphone-3gs-usado-32gb-apple-orig-modelo-1303-ler-descrico-_JM?searchVariation=179952842028#searchVariation%3D179952842028%26position%3D32%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3Db7365164-874c-4200-8bdd-8df8b50bb389'],['https://produto.mercadolivre.com.br/MLB-3566162881-iphone-3gs-lacrado-de-fabrica-item-de-colecionador-_JM?searchVariation=181418203909#searchVariation%3D181418203909%26position%3D41%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3Def651f1c-0f60-4947-addd-f89b98905909']
12,['https://produto.mercadolivre.com.br/MLB-3741163937-vitrine-iphone-12-mini-64gb-blue-5g-_JM?searchVariation=180734340728#searchVariation%3D180734340728%26position%3D29%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D20b99de1-0bd1-4d52-9160-31a4498d06fe'],['https://www.mercadolivre.com.br/apple-iphone-12-pro-max-512-gb-grafite/p/MLB16163700#searchVariation%3DMLB16163700%26position%3D11%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D400397aa-0bb7-4577-9c12-ec9a773d0223']
11,"['https://produto.mercadolivre.com.br/MLB-2045754210-usado-iphone-11-64gb-preto-bom-trocafone-_JM#position%3D22%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D53b5a2f0-2f21-496b-a2b8-a11bad6cb564'
 'https://produto.mercadolivre.com.br/MLB-3223736529-iphone-11-64gb-verde-bom-trocafone-celular-usado-_JM#position%3D22%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D20b99de1-0bd1-4d52-9160-31a4498d06fe']",['https://produto.mercadolivre.com.br/MLB-3470593443-apple-iphone-11-branco-128gb-lacrado-nfe-garantia-12-meses-_JM?searchVariation=178924824758#searchVariation%3D178924824758%26position%3D26%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D53b5a2f0-2f21-496b-a2b8-a11bad6cb564']
16,['https://produto.mercadolivre.com.br/MLB-3208492427-iphone-xs-64gb-cinza-espacial-bom-trocafone-celular-usado-_JM#position%3D36%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D20b99de1-0bd1-4d52-9160-31a4498d06fe'],['https://www.mercadolivre.com.br/iphone-xs-max-64-gb-cinza-espacial/p/MLB12866626#searchVariation%3DMLB12866626%26position%3D33%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3Def651f1c-0f60-4947-addd-f89b98905909']
17,['https://produto.mercadolivre.com.br/MLB-2094906393-iphone-xr-64gb-preto-muito-bom-trocafone-celular-usado-_JM#position%3D27%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D20b99de1-0bd1-4d52-9160-31a4498d06fe'],['https://produto.mercadolivre.com.br/MLB-4979384614-apple-iphone-xr-64-gb-preto-vitrine-p-entregacnfe-_JM?searchVariation=184118625305#searchVariation%3D184118625305%26position%3D6%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D20b99de1-0bd1-4d52-9160-31a4498d06fe']
18,"['https://produto.mercadolivre.com.br/MLB-3807455615-smartphone-iphone-se-a1723-16gb-2gb-ram-rose-gold-excelente-_JM?searchVariation=184118989491#searchVariation%3D184118989491%26position%3D3%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D20b99de1-0bd1-4d52-9160-31a4498d06fe'
 'https://produto.mercadolivre.com.br/MLB-4979588098-smartphone-iphone-se-a1723-16gb-2gb-ram-space-gray-excelente-_JM?searchVariation=184119512781#searchVariation%3D184119512781%26position%3D5%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D20b99de1-0bd1-4d52-9160-31a4498d06fe']",['https://www.mercadolivre.com.br/apple-iphone-se-2a-geraco-64-gb-branco/p/MLB15591332#searchVariation%3DMLB15591332%26position%3D23%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3Def651f1c-0f60-4947-addd-f89b98905909']
19,['https://produto.mercadolivre.com.br/MLB-2045754525-iphone-x-256gb-cinza-espacial-muito-bom-celular-usado-_JM#position%3D29%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3Db7365164-874c-4200-8bdd-8df8b50bb389'],['https://produto.mercadolivre.com.br/MLB-4145272862-iphone-x-256-gb-lindo-10x-sem-juros-_JM?searchVariation=180395881737#searchVariation%3D180395881737%26position%3D45%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D400397aa-0bb7-4577-9c12-ec9a773d0223']
8,['https://produto.mercadolivre.com.br/MLB-4152221478-iphone-8-64-gb-lindo-10x-sem-juros-_JM?searchVariation=180531600673#searchVariation%3D180531600673%26position%3D5%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D53b5a2f0-2f21-496b-a2b8-a11bad6cb564'],['https://www.mercadolivre.com.br/iphone-8-plus-128-gb-cinza-espacial/p/MLB15271025#searchVariation%3DMLB15271025%26position%3D9%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D400397aa-0bb7-4577-9c12-ec9a773d0223']
7,"['https://produto.mercadolivre.com.br/MLB-3638443815-iphone-7-32-gb-preto-fosco-a1778-completo-_JM?searchVariation=182251353397#searchVariation%3D182251353397%26position%3D9%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D53b5a2f0-2f21-496b-a2b8-a11bad6cb564'
 'https://produto.mercadolivre.com.br/MLB-4543877150-smartphone-iphone-7-32-gb-preto-original-com-garantia-e-nf-_JM?searchVariation=182195728965#searchVariation%3D182195728965%26position%3D26%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D20b99de1-0bd1-4d52-9160-31a4498d06fe']",['https://www.mercadolivre.com.br/iphone-7-plus-128-gb-ouro-rosa/p/MLB6240134#searchVariation%3DMLB6240134%26position%3D22%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3Def651f1c-0f60-4947-addd-f89b98905909']
5,['https://produto.mercadolivre.com.br/MLB-4751846536-iphone-5-apple-modelo-a1428-preto-no-liga-_JM?searchVariation=183038017493#searchVariation%3D183038017493%26position%3D35%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3Db7365164-874c-4200-8bdd-8df8b50bb389'],['https://www.mercadolivre.com.br/iphone-5s-32-gb-cinza-espacial/p/MLB6007309#searchVariation%3DMLB6007309%26position%3D5%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3Def651f1c-0f60-4947-addd-f89b98905909']
6,['https://produto.mercadolivre.com.br/MLB-3135488773-iphone-6-64-gb-prateado-apple-ios-a1549-necessita-conserto-_JM?searchVariation=176367152626#searchVariation%3D176367152626%26position%3D36%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3Db7365164-874c-4200-8bdd-8df8b50bb389'],"['https://produto.mercadolivre.com.br/MLB-3777762619-iphone-6s-plus-32-gb-lindo-10x-sem-juros-_JM?searchVariation=183654033983#searchVariation%3D183654033983%26position%3D7%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3Db7365164-874c-4200-8bdd-8df8b50bb389'
 'https://produto.mercadolivre.com.br/MLB-4671435676-iphone-6s-plus-16-gb-lindo-10x-sem-juros-_JM?searchVariation=180451481164#searchVariation%3D180451481164%26position%3D10%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D53b5a2f0-2f21-496b-a2b8-a11bad6cb564']"
4,['https://produto.mercadolivre.com.br/MLB-3807956637-iphone-apple-4s-16-gb-branco-usado-_JM?searchVariation=184123411141#searchVariation%3D184123411141%26position%3D48%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3Def651f1c-0f60-4947-addd-f89b98905909'],['https://produto.mercadolivre.com.br/MLB-4382720442-iphone-4-e-ipod-funcionando-c-carregador-item-colecionador-_JM?searchVariation=179732481568#searchVariation%3D179732481568%26position%3D34%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3Db7365164-874c-4200-8bdd-8df8b50bb389']
